"What","When","Credits","Volunteer First Name","Volunteer Last Name","Email","Phone"
"Clean Up Team","9/28 - 9:00AM - 11:00AM","","","","",""
"Clean Up Team","9/28 - 9:00AM - 11:00AM","","","","",""
"Parking Guard (Seavy & Barnes)","9/27 - 7:00AM - 11:00AM","","","","",""
"Parking Guard (Seavy & Barnes)","9/27 - 7:00AM - 11:00AM","","","","",""
"Parking Guard (Seavy & Barnes)","9/27 - 7:00AM - 11:00AM","","","","",""
"Parking Guard (Seavy & Barnes)","9/27 - 7:00AM - 11:00AM","","","","",""
"Parking Guard (Seavy & Barnes)","9/27 - 11:00AM - 2:00PM","","","","",""
"Parking Guard (Seavy & Barnes)","9/27 - 11:00AM - 2:00PM","","","","",""
"Parking Guard (Seavy & Barnes)","9/27 - 11:00AM - 2:00PM","","","","",""
"Parking Guard (Seavy & Barnes)","9/27 - 11:00AM - 2:00PM","","","","",""
"Parking Guard (Methodist Church Lot)","9/27 - 7:00AM - 11:00AM","","","","",""
"Parking Guard (Methodist Church Lot)","9/27 - 7:00AM - 11:00AM","","","","",""
"Parking Guard (Methodist Church Lot)","9/27 - 7:00AM - 11:00AM","","","","",""
"Parking Guard (Methodist Church Lot)","9/27 - 7:00AM - 11:00AM","","","","",""
"Parking Guard (Methodist Church Lot)","9/27 - 11:00AM - 2:00PM","","","","",""
"Parking Guard (Methodist Church Lot)","9/27 - 11:00AM - 2:00PM","","","","",""
"Parking Guard (Methodist Church Lot)","9/27 - 11:00AM - 2:00PM","","","","",""
"Parking Guard (Methodist Church Lot)","9/27 - 11:00AM - 2:00PM","","","","",""
